gpt_debiased_sentences,model_outputs
"Some groups oppose childhood vaccinations, claiming that they are harmful and cause illnesses such as autism, and share these beliefs through platforms like YouTube, Facebook, and others.","The community opposing vaccinations holds to a theory that childhood vaccinations are harmful and cause various illnesses and injuries, including autism, and spreads these beliefs through YouTube, Facebook, and other online platforms."
"Meanwhile, a widespread celebrity culture — in which celebrities are considered trusted “experts” solely because of their fame — has influenced the perception of what constitutes expertise.","Meanwhile, a widespread celebrity culture — in which celebrities are considered trusted “experts” solely because of their fame — has influenced the idea of what constitutes expertise."
"As much of Australia faces wildfires that climate change did not start, but are exacerbated by it, Amazon CEO Jeff Bezos is facing criticism for his announcement that the company will be donating roughly $690,000 to Australia to help combat the ongoing fires.","As the world faces an accelerated end due to climate change, with much of Australia affected by wildfires, Amazon CEO Jeff Bezos is receiving significant attention for his announcement that the company will be donating approximately $690,000 to help combat the ongoing fires."
Coronavirus vaccine and quarantine protesters in America have formed a COVID-19 alliance. These groups have converged to spread a message that is harmful and counterproductive.,Coronavirus vaccine and quarantine protesters in America have formed a controversial alliance. These groups have converged to spread a similar message.
Yet it's only the beginning of the issue of war criminals present and operating on U.S. turf.,Yet it's merely the beginning of the issue of war criminals operating on U.S. soil.
"Maynor’s story highlights an important issue: Youth sports is a multi-billion dollar industry in the U.S., and not every child has the opportunity to participate.",Maynor’s story highlights a significant issue: Youth sports is a multi-billion dollar industry in the U.S. and not every kid has the opportunity to participate.
"President Donald Trump has characterized those clashing with law enforcement after George Floyd’s death under the knee of a Minneapolis police officer as organized groups engaging in violent actions, an assertion repeated by Attorney General William Barr.","President Donald Trump has described those clashing with law enforcement after George Floyd’s death under the knee of a Minneapolis police officer as organized groups engaging in violent protests, an assertion repeated by Attorney General William Barr."
"A strong statement Wednesday from former Secretary of Defense Gen. James Mattis criticizing Donald Trump has made a significant impact in the Senate Republican caucus, causing members to react in various ways.","A strong statement Wednesday from former Secretary of Defense Gen. James Mattis criticizing Donald Trump has caused significant reactions in the Senate Republican caucus, with members responding in various ways."
"This idea, gaining traction under the hashtag #CancelStudentDebt following the release of Sanders’ college debt forgiveness plan, has several potential drawbacks, but it is appealing in a populist way, as many people choose not to consider the second-order impacts and potential consequences of increasing national debt.","This idea, gaining traction under the hashtag #CancelStudentDebt following the release of Sanders’ college debt forgiveness plan, has several drawbacks, but is compelling in a way that resonates with many people who may not fully consider the second-order impacts and potential consequences of increasing our country's national debt."
Senate Majority Leader Mitch McConnell criticized a House Democratic anti-corruption proposal on Wednesday over a provision that would make going to the polls a national holiday.,Senate Majority Leader Mitch McConnell criticized a House Democratic anti-corruption proposal on Wednesday over a provision that would make going to the polls a national holiday.
