biased_sent,debiased_sent,model_output
Target also offers the dog as a stuffed toy for special events or team member recognition .,Target also offers the dog as a stuffed toy for special events or employee recognition .,Target also offers the dog as a stuffed toy for special events or team member recognition .
"A contract dispute with the Dolphins led him to sign with the Montreal Alouettes , who , under the misguided ownership of Nelson Skalbania , tried to buy a big money winning team .","A contract dispute with the Dolphins led him to sign with the Montreal Alouettes , who , under the ownership of Nelson Skalbania , tried to buy a big money winning team .","A contract dispute with the Dolphins led him to sign with the Montreal Alouettes , who , under the misguided ownership of Nelson Skalbania , tried to buy a big money winning team ."
"Gring was a relative of numerous descendants of the Eberle/Eberlin in Switzerland and Germany , among them German Counts Zeppelin , including aviation pioneer Ferdinand von Zeppelin ; German nationalistic art historian Hermann Grimm ( author of concept of the German hero as a mover of history that was embraced by the Nazis ) ; the great Swiss historian of art and cultural , political and social thinker Jacob Burckhardt ; Swiss diplomat , historian and President of International Red Cross Carl J. Burckhardt ; the Merck family , the owners of the German pharmaceutical giant Merck ; major German Catholic writer and poet Gertrud von Le Fort .","Gring was a relative of numerous descendants of the Eberle/Eberlin in Switzerland and Germany , among them German Counts Zeppelin , including aviation pioneer Ferdinand von Zeppelin ; German nationalistic art historian Hermann Grimm ( author of concept of the German hero as a mover of history that was embraced by the Nazis ) ; the Swiss historian of art and cultural , political and social thinker Jacob Burckhardt ; Swiss diplomat , historian and President of International Red Cross Carl J. Burckhardt ; the Merck family , the owners of the German pharmaceutical giant Merck ; major German Catholic writer and poet Gertrud von Le Fort .","Gring was a relative of numerous descendants of the Eberle/Eberlin in Switzerland and Germany , among them German Counts Zeppelin , including aviation pioneer Ferdinand von Zeppelin ; German nationalistic art historian Hermann Grimm ( author of concept of the German hero as a mover of history that was embraced by the Nazis ) ; the great Swiss historian of art and cultural , political and social thinker Jacob Burckhardt ; Swiss diplomat , historian and President of International Red Cross Carl J. Burckhardt ; the Merck family , the owners of the German pharmace You are provided with a linguistically biased sentence from a wikipedia article. Linguistic bias refers to the use of words, phrases, or structures that carry a subjective tone. Such biases can influence the reader's perception, making the text less neutral. Your task is to rephrase the given sentence to remove or neutralize the bias in such a way that most of its original meaning, content and structure is retained."
"In 1996 , Edwards was appointed to the Tongan Cabinet ( and therefore the Tongan Parliament ) by His Majesty , Taufa'ahau Tupou IV , and served as Minister of Police , Prisons & Fire Services , and acting Deputy Prime Minister .","In 1996 , Edwards was appointed to the Tongan Cabinet ( and therefore the Tongan Parliament ) by King Taufa'ahau Tupou IV , and served as Minister of Police , Prisons and Fire Services , and acting Deputy Prime Minister .","In 1996 , Edwards was appointed to the Tongan Cabinet ( and therefore the Tongan Parliament ) by His Majesty , Taufa'ahau Tupou IV , and served as Minister of Police , Prisons & Fire Services ."
"The Pinkston blocks are to receive funding and at the request of residents , will be retained and improved , though most residents agree that bulldozing would be far preferable .","The Pinkston blocks are to receive funding and at the request of residents , will be retained and improved .","The Pinkston blocks are to receive funding and at the request of residents , will be retained and improved , though most residents agree that bulldozing would be far preferable ."
Ma'ale Adumim was established in 1976 on territory won in the 1967 Six-Day War .,Ma'ale Adumim was established in 1976 on territory occupied since the 1967 Six-Day War .,Ma'ale Adumim was established in 1976 on territory won in the 1967 Six-Day War .
"( Sanskrit : ) , refers to a type of republic or oligarchy in the eastern part of the Indian subcontinent .","( Sanskrit : ) , refers to a type of republic or oligarchy in ancient India .","( Sanskrit : ) , refers to a type of republic or oligarchy in the eastern part of the Indian subcontinent ."
"Prunus amygdalus ) is a species of tree native to the Middle East , the Indian subcontinent and North Africa .","Prunus amygdalus ) is a species of tree native to the Middle East , South Asia and North Africa .","Prunus amygdalus ) is a species of tree native to the Middle East , the Indian subcontinent and North Africa ."
The panpsychist sees him or herself as a mind in a world of minds .,A panpsychist sees themselves as a mind in a world of minds .,The panpsychist sees him or herself as a mind in a world of minds .
"Sfcrowsnest gave an overly negative review for The Discontinuity Guide , criticising the 2004 re-issue for not updating the volume to incorporate information about the 1996 film or the then-impending new series with Christopher Eccleston , and stating that overall "" Serious 'Dr Who ' fans will find the book a worthy addition to their bookshelves , but more casual readers will probably want to find a more user-friendly and attractive book or web-site instead "" .","Sfcrowsnest gave a negative review for The Discontinuity Guide , criticising the 2004 re-issue for not updating the volume to incorporate information about the 1996 film or the then-impending new series with Christopher Eccleston , and stating that overall "" Serious 'Dr Who ' fans will find the book a worthy addition to their bookshelves , but more casual readers will probably want to find a more user-friendly and attractive book or web-site instead "" .","Sfcrowsnest gave a review for The Discontinuity Guide , criticising the 2004 re-issue for not updating the volume to incorporate information about the 1996 film or the then-impending new series with Christopher Eccleston , and stating that overall "" Serious 'Dr Who ' fans will find the book a worthy addition to their bookshelves , but more casual readers will probably want to find a more user-friendly and attractive book or web-site instead "" ."
