biased_sentence,biased_words,rephrase_possible,debiased_sentence
"But if you major in philosophy or gender studies, you might struggle to find any job in your field, let alone a well-paying one.",['struggle'],yes,"But if you major in philosophy or gender studies, you might find it challenging to secure a job in your field, let alone a well-paying one."
Inhibiting travel and commerce—not to mention making consular interviews deeply intrusive on a gendered basis—by imposing restrictions on pregnant women is an alarmist reaction to a small issue.,"['intrusive', 'alarmist']",yes,Inhibiting travel and commerce—and making consular interviews more difficult for pregnant women—by imposing restrictions is an exaggerated reaction to a minor issue.
"Major League Baseball is using its financial muscle to support the U.S. women's softball team, which already is assured a spot in the Tokyo Olympics while the American men's baseball team struggles to qualify.","['financial', 'muscle', 'struggles']",yes,"Major League Baseball is using its resources to support the U.S. women's softball team, which has already secured a spot in the Tokyo Olympics, while the American men's baseball team faces challenges in qualifying."
"People from populations targeted by these immigration policies might also experience more discrimination, which worsens mental health.",['worsens'],yes,"People from populations targeted by these immigration policies might also experience more discrimination, which negatively impacts mental health."
Six Republican Senators have failed to develop a coalition for their plan that exchanges a fifth of border wall funding for an amnesty for illegal aliens and increased immigration.,"['illegal', 'aliens', 'failed']",yes,Six Republican Senators have struggled to develop a coalition for their plan that exchanges a fifth of border wall funding for a pathway to citizenship for undocumented immigrants and increased immigration.
"Biden made the apocalyptic pronouncement while discussing climate change before a crowd of supporters in Peterborough, New Hampshire.",['apocalyptic'],yes,"Biden made the urgent pronouncement while discussing climate change before a crowd of supporters in Peterborough, New Hampshire."
"There may be pushback among Democrats. If so, I hope the ones doing the pushing will reconsider. We have treated our younger generations, and many older people, unjustly. The act of recognizing an injustice we hadn’t seen before makes us more human and refines us as moral beings.","['moral', 'unjustly', 'injustice', 'human']",yes,"There may be pushback among Democrats. If so, I hope the ones doing the pushing will reconsider. We have treated our younger generations, and many older people, unfairly. Recognizing an issue we hadn’t seen before helps us grow as individuals and improves our ethical understanding."
"But Americans who blame anti-vaccination parents and propaganda have it wrong. Yes, those who do not vaccinate their children play a role in our failing rates, and lies about vaccinations causing autism have made matters worse, but there are less known, more significant causes to poor completion rates in children.","['anti-vaccination', 'lies', 'propaganda', 'wrong']",yes,"But Americans who blame parents who refuse to vaccinate and misinformation have it incorrect. Yes, those who do not vaccinate their children contribute to the declining rates, and false claims about vaccinations causing autism have made matters worse, but there are lesser-known, more significant factors affecting poor vaccination completion rates in children."
"Parent borrowing is a sacrifice many black parents make to pay for their children’s college education, and it is especially prevalent among families whose children attend historically black colleges and universities.","['sacrifice', 'black']",yes,"Parent borrowing is a common practice for many parents to pay for their children’s college education, and it is especially prevalent among families whose children attend historically black colleges and universities."
"This idea, gaining traction under the hashtag #CancelStudentDebt following the release of Sanders’ college debt forgiveness plan, is bad for several reasons, but naturally appealing in a sort of populist way, since plenty of people choose not to think about second-order impacts and potential consequences of driving our country into even more ruinous national debt than before.","['bad', 'naturally', 'appealing', 'ruinous']",yes,"This idea, gaining traction under the hashtag #CancelStudentDebt following the release of Sanders’ college debt forgiveness plan, has several potential drawbacks, but it is appealing in a populist way, as many people choose not to consider the second-order impacts and potential consequences of increasing national debt."
"Trump reportedly told advisers during a “contentious” meeting on Monday that he wanted to deploy as many as 10,000 National Guard troops to D.C., Reuters reported. But Defense Secretary Mark Esper, Chairman of the Joint Chiefs of Staff Mark Milley and Attorney General William Barr reportedly pushed back.",['contentious'],yes,"Trump reportedly told advisers during a tense meeting on Monday that he wanted to deploy as many as 10,000 National Guard troops to D.C., Reuters reported. But Defense Secretary Mark Esper, Chairman of the Joint Chiefs of Staff Mark Milley and Attorney General William Barr reportedly pushed back."
Actor and climate change activist Joaquin Phoenix was spotted at Oscars Party with plastic water bottle after climate change rant.,"['climate', 'change', 'rant']",yes,Actor and environmental activist Joaquin Phoenix was spotted at an Oscars party with a plastic water bottle after discussing the issue of climate change.
