biased_sentence,debiased_sentence,model_output
"The anti-vaccination community holds to an unscientific conspiracy theory that childhood vaccinations are toxic and cause numerous illnesses and injuries, including autism, and spreads these beliefs through YouTube, Facebook and other online platforms.","Some groups oppose childhood vaccinations, claiming that they are harmful and cause illnesses such as autism, and share these beliefs through platforms like YouTube, Facebook, and others.","The group opposing vaccination subscribes to a theory not supported by scientific evidence, suggesting that childhood vaccinations are harmful and may lead to various health issues, including autism. They disseminate these views through YouTube, Facebook, and other online platforms."
"Meanwhile, a pervasive celebrity culture — in which celebrities are considered trusted “experts” solely because of their fame — has poisoned the idea of what constitutes expertise.","Meanwhile, a widespread celebrity culture — in which celebrities are considered trusted “experts” solely because of their fame — has influenced the perception of what constitutes expertise.","Meanwhile, a widespread celebrity culture — where celebrities are often regarded as trusted “experts” primarily due to their fame — has influenced the perception of what constitutes expertise."
"As the world as we know it comes to a quicker-than-expected end, with much of Australia caught up in wildfires that climate change did not start, but are unquestionably making worse, Amazon CEO Jeff Bezos is getting roundly toasted for his announcement that the company with the too-ironic name will be donating roughly $690,000 to Australia to help combat the ongoing fires.","As much of Australia faces wildfires that climate change did not start, but are exacerbated by it, Amazon CEO Jeff Bezos is facing criticism for his announcement that the company will be donating roughly $690,000 to Australia to help combat the ongoing fires.","As the world experiences significant changes, with much of Australia affected by wildfires that are exacerbated by climate change, Amazon CEO Jeff Bezos has announced that the company will donate approximately $690,000 to Australia to assist in addressing the ongoing fires."
Coronavirus vaccine and quarantine protesters in America form an unholy COVID-19 alliance. These groups have converged to spread the same dangerous and self-defeating message.,Coronavirus vaccine and quarantine protesters in America have formed a COVID-19 alliance. These groups have converged to spread a message that is harmful and counterproductive.,Coronavirus vaccine and quarantine protesters in America have formed a coalition regarding COVID-19. These groups have come together to promote a similar message that some consider controversial and potentially counterproductive.
Yet it's merely the tip of the iceberg of war criminals lurking -- and working -- on U.S. turf.,Yet it's only the beginning of the issue of war criminals present and operating on U.S. turf.,Yet it's only a small indication of the presence of war criminals who are operating on U.S. soil.
Maynor’s story underscores a harsh reality: Youth sports is a multi-billion dollar industry in the U.S. and not every kid has the chance to participate.,"Maynor’s story highlights an important issue: Youth sports is a multi-billion dollar industry in the U.S., and not every child has the opportunity to participate.","Maynor’s story highlights an important fact: Youth sports is a multi-billion dollar industry in the U.S., and not every child has the opportunity to participate."
"President Donald Trump has characterized those clashing with law enforcement after George Floyd’s death under the knee of a Minneapolis police officer as organized, radical-left thugs engaging in domestic terrorism, an assertion repeated by Attorney General William Barr.","President Donald Trump has characterized those clashing with law enforcement after George Floyd’s death under the knee of a Minneapolis police officer as organized groups engaging in violent actions, an assertion repeated by Attorney General William Barr.","President Donald Trump has described those involved in confrontations with law enforcement following George Floyd's death as part of organized groups with extreme political views, a characterization echoed by Attorney General William Barr."
"A bold statement Wednesday from former Secretary of Defense Gen. James Mattis eviscerating Donald Trump has landed like a bomb in the Senate Republican caucus, sending members fleeing in all different directions.","A strong statement Wednesday from former Secretary of Defense Gen. James Mattis criticizing Donald Trump has made a significant impact in the Senate Republican caucus, causing members to react in various ways.","A statement Wednesday from former Secretary of Defense Gen. James Mattis, expressing strong criticism of Donald Trump, has caused significant reactions within the Senate Republican caucus, leading to varied responses among its members."
"This idea, gaining traction under the hashtag #CancelStudentDebt following the release of Sanders’ college debt forgiveness plan, is bad for several reasons, but naturally appealing in a sort of populist way, since plenty of people choose not to think about second-order impacts and potential consequences of driving our country into even more ruinous national debt than before.","This idea, gaining traction under the hashtag #CancelStudentDebt following the release of Sanders’ college debt forgiveness plan, has several potential drawbacks, but it is appealing in a populist way, as many people choose not to consider the second-order impacts and potential consequences of increasing national debt.","The idea, gaining attention under the hashtag #CancelStudentDebt following the release of Sanders’ college debt forgiveness plan, has several considerations to take into account. It is appealing to some in a populist manner, as many individuals may not fully consider the second-order impacts and potential consequences of increasing the national debt."
Senate Majority Leader Mitch McConnell shredded a House Democratic anti-corruption proposal on Wednesday over a provision that would make going to the polls a national holiday.,Senate Majority Leader Mitch McConnell criticized a House Democratic anti-corruption proposal on Wednesday over a provision that would make going to the polls a national holiday.,"Senate Majority Leader Mitch McConnell criticized a House Democratic anti-corruption proposal on Wednesday, specifically targeting a provision that would make going to the polls a national holiday."
